policy,seed,total_served,total_reneged,avg_wait_time,throughput,renege_rate,served_general,reneged_general,renege_rate_general,served_fan,reneged_fan,renege_rate_fan,served_vip,reneged_vip,renege_rate_vip,served_coachella_stage,reneged_coachella_stage,avg_wait_coachella_stage,served_sahara,reneged_sahara,avg_wait_sahara,served_outdoor_theatre,reneged_outdoor_theatre,avg_wait_outdoor_theatre,served_mojave,reneged_mojave,avg_wait_mojave,served_gobi,reneged_gobi,avg_wait_gobi,served_sonora,reneged_sonora,avg_wait_sonora,served_do_lab,reneged_do_lab,avg_wait_do_lab,served_yuma,reneged_yuma,avg_wait_yuma
Informative App,105,5341,0,0.0268,667.625,0.0,3436,0,0.0,900,0,0.0,483,0,0.0,2204,0,0.06,992,0,0.0,565,0,0.0,502,0,0.0,341,0,0.0,256,0,0.0,282,0,0.0,199,0,0.0
Informative App,106,5368,1,0.043,671.0,0.0002,3488,1,0.00028661507595299513,899,0,0.0,464,0,0.0,2256,1,0.1,1004,0,0.0,575,0,0.0,449,0,0.0,344,0,0.0,263,0,0.0,264,0,0.0,213,0,0.0
Informative App,107,5684,0,0.062,710.5,0.0,3629,0,0.0,964,0,0.0,566,0,0.0,2424,0,0.15,996,0,0.0,616,0,0.0,514,0,0.0,352,0,0.0,290,0,0.0,291,0,0.0,201,0,0.0
Informative App,108,5496,1,0.0889,687.0,0.0002,3503,1,0.00028538812785388126,969,0,0.0,506,0,0.0,2338,1,0.21,983,0,0.0,605,0,0.0,474,0,0.0,337,0,0.0,282,0,0.0,268,0,0.0,209,0,0.0
Informative App,109,5374,1,0.0845,671.75,0.0002,3416,1,0.000292654375182909,937,0,0.0,494,0,0.0,2235,1,0.2,978,0,0.0,605,0,0.0,477,0,0.0,356,0,0.0,246,0,0.0,275,0,0.0,202,0,0.0
Informative App,110,5097,0,0.0,637.125,0.0,3299,0,0.0,853,0,0.0,459,0,0.0,2117,0,0.0,928,0,0.0,555,0,0.0,478,0,0.0,313,0,0.0,255,0,0.0,257,0,0.0,194,0,0.0
Informative App,111,5362,1,0.0238,670.25,0.0002,3501,1,0.00028555111364934324,879,0,0.0,462,0,0.0,2228,1,0.06,975,0,0.0,588,0,0.0,491,0,0.0,321,0,0.0,277,0,0.0,282,0,0.0,200,0,0.0
Informative App,112,5224,0,0.0078,653.0,0.0,3343,0,0.0,882,0,0.0,479,0,0.0,2115,0,0.02,1008,0,0.0,541,0,0.0,492,0,0.0,378,0,0.0,251,0,0.0,261,0,0.0,178,0,0.0
Informative App,113,5531,1,0.1155,691.375,0.0002,3565,1,0.00028042624789680314,933,0,0.0,513,0,0.0,2252,1,0.28,1043,0,0.0,623,0,0.0,531,0,0.0,356,0,0.0,251,0,0.0,271,0,0.0,204,0,0.0
Informative App,114,5259,0,0.0073,657.375,0.0,3407,0,0.0,856,0,0.0,476,0,0.0,2143,0,0.02,997,0,0.0,569,0,0.0,489,0,0.0,347,0,0.0,241,0,0.0,282,0,0.0,191,0,0.0
Informative App,115,5706,1,0.1843,713.25,0.0002,3631,1,0.00027533039647577095,1027,0,0.0,525,0,0.0,2332,1,0.45,1045,0,0.0,653,0,0.0,528,0,0.0,369,0,0.0,290,0,0.0,280,0,0.0,209,0,0.0
Informative App,116,5441,0,0.0289,680.125,0.0,3525,0,0.0,877,0,0.0,523,0,0.0,2241,0,0.07,1061,0,0.0,588,0,0.0,493,0,0.0,327,0,0.0,254,0,0.0,276,0,0.0,201,0,0.0
Informative App,117,5330,0,0.0479,666.25,0.0,3418,0,0.0,897,0,0.0,497,0,0.0,2246,0,0.11,975,0,0.0,607,0,0.0,489,0,0.0,349,0,0.0,241,0,0.0,263,0,0.0,160,0,0.0
Informative App,118,5610,1,0.1314,701.25,0.0002,3573,1,0.0002797985450475658,990,0,0.0,537,0,0.0,2281,1,0.32,1009,0,0.0,704,0,0.0,511,0,0.0,317,0,0.0,300,0,0.02,274,0,0.0,214,0,0.0
Informative App,119,5663,0,0.177,707.875,0.0,3666,0,0.0,962,0,0.0,517,0,0.0,2335,0,0.43,1047,0,0.0,637,0,0.0,535,0,0.0,349,0,0.0,283,0,0.0,282,0,0.0,195,0,0.0
